type;id;name;gender
;Q20071;Glauchauer Weg;-
;Q494617;Glücksburger Weg;-
;Q1576433;Glücksteinallee;m
;Q130759;Gluckstraße;m
;Q165519;Gneisenaustraße;m
;Q51432;Gnesener Straße;-
;Q126814;Goeggstraße;m
;Q5879;Goetheplatz;m
;Q5879;Goethestraße;m
;;Gondelplatz;-
;;Gondelstraße;-
;Q553267;Gönnheimer Weg;-
;;Gontardplatz;-
;;Gontardstraße;-
;Q69087;Gorch-Fock-Straße;m
;Q4077;Görlitzer Weg;-
;Q215730;Görresstraße;m
;Q1538440;Gorxheimer Straße;-
;Q3896;Goslarer Weg;-
;Q42193;Gotenstraße;+
;Q6986;Gothaer Weg;-
;;Gottfriedstraße;-
;Q57098;Gottlieb-Daimler-Straße;m
;;Grabenweg;
;;Gralsstraße;
;Q34836;Grant Circle;m
;-;Graßmannstraße;m
;;Grasweg;
;Q123511;Graudenzer Linie;-
;Q4098;Greifswalder Weg;-
;;Grenadierstraße;-
;Q15111809;Grenzhofer Weg;-
;;Grenzschneise;
;;Grenzweg;-
;Q94697026;Grete-Fleischmann-Straße;w
;Q98681;Grillenbergerstraße;m
;Q154438;Grillparzerstraße;m
;-;Grohbergstraße;+
;Q251689;Groß-Gerauer Straße;-
;;Großbranndweg;
;;Große Ausdauer;
;Q25239;Große Erlen;-
;;Große Holzgasse;-
;;Großer Weidstückerweg;-
;;Großfeldstraße;-
;;Großgehrenstraße;-
;;Grüner Winkel;
;Q154338;Grünewaldstraße;m
;Q1552377;Grüntenseeweg;-
;Q77214;Gryphiusweg;m
;Q491164;Gudrunweg;w
;Q537997;Gundelsheimer Straße;-
;"Q16573492;Q54997165";Guntherweg;m
;Q84844;Gustav-Seitz-Straße;m
;Q538615;Gutacher Ring;-
;;Gute Erde;-
;Q8958;Gutenbergstraße;m
;;Guter Fortschritt;
;;Güterhallenstraße;-
;Q2121848;H 1;
;Q2121848;H 2;
;Q2121848;H 3;
;Q2121848;H 4;
;Q2121848;H 5;
;Q2121848;H 6;
;Q2121848;H 7;
;Q837186;Haardtstraße;-
;Q137474876;Habichtplatz;-
;Q137474876;Habichtstraße;-
;Q29868;Haderslebener Straße;-
;;Hafenbahnstraße;
;;Hafenstraße;
;Q22730;Hagenauer Straße;-
;Q22730;Hagenauer Winkel;-
;"Q1568447;Q55000105";Hagenstraße;m
;Q158513;Hainbuchenhof;-
;Q158513;Hainbuchenweg;-
;Q7072;Halberstadter Weg;-
;;Hallenbrücken;-
;;Hallenbuckel;-
;;Hallenstraße;-
;;Hallenweg;-
;Q2814;Hallesche Straße;-
;Q1555905;Halmhuberstraße;m
;Q393532;Hambacher Straße;-
;Q25294;Hammerstraße;-
;Q3802;Hanauer Platz;-
;Q3802;Hanauer Straße;-
;Q79817;Hanfstraße;-
;;Hangstraße;-
;Q58758;Hanns-Martin-Schleyer-Straße;m
;Q105130;Hans-Böckler-Platz;m
;Q105130;Hans-Böckler-Straße;m
;Q1576433;Hans-Glückstein-Platz;m
;Q96080510;Hans-Heck-Weg;m
;Q1580662;Hans-Kampffmeyer-Weg;m
;Q1581995;Hans-Reschke-Ufer;m
;Q19543;Hans-Sachs-Ring;m
;Q1582483;Hans-Schüler-Weg;m
;Q678094;Hans-Thoma-Straße;m
;;Hansastraße;-
;Q1585090;Hardenburgstraße;-
;Q539852;Hardheimer Straße;-
;Q889064;Harpener Straße;-
;;Harrlachgärtenweg;-
;;Harrlachweg;-
;Q522459;Harzburger Weg;-
;Q124969;Haselweg;-
;;Hasenackerstraße;-
;Q25900;Hasengasse;-
;Q664857;Haßlocher Straße;-
;Q57966;Hauffstraße;m
;;Hauptstraße;
;;Hauptweg;-
;Q506856;Hausacher Straße;-
;;Häuselweg;
;Q897270;Havellandstraße;-
;Q35686;Hayes-Street;m
;Q62512;Hebelstraße;m
;;Hechtstraße;-
;Q216025;Heckerstraße;m
;;Heckweg;
;Q83154;Heddesheimer Straße;-
;Q83154;Heddesheimer-Landstraße;-
;Q2966;Heidelberger Straße;-
;;Heidestraße;
;Q715;Heilbronner Straße;-
;Q751123;Heilsberger Hof;-
;Q751123;Heilsberger Straße;-
;Q44403;Heinrich-Heine-Straße;m
;Q41257;Heinrich-Hertz-Straße;m
;Q94859663;Heinrich-Hoff-Straße;m
;Q104281;Heinrich-Lanz-Straße;m
;Q337263;Heinrich-Pesch-Weg;m
;Q215482;Heinrich-von-Stephan-Straße;m
;Q17362776;Heinrich-Wittkamp-Straße;m
;Q498211;Heinrich-Zille-Straße;m
;Q71665;Heinz-Haber-Straße;m
;Q45322631;Helene-Hecht-Ring;w
;Q185623;Hellebardenweg;-
;Q20820202;Hellingstraße;-
;Q45161;Helmertstraße;m
;Q60024;Helmholtzstraße;m
;Q1321779;Hemmerstraße;m
;Q524407;Heppenheimer Straße;-
;Q65736;Herbert-Albert-Straße;m
;-;Herbert-Gutfleisch-Weg;m
;Q91962;Herbert-Maisch-Weg;m
;Q1314;Herbststraße;-
;Q21061007;Hermann-Esch-Weg;m
;Q55674857;Hermann-Gropengießer-Straße;m
;Q1611432;Hermann-Heimerich-Ufer;m
;Q25973;Hermann-Hesse-Straße;m
;Q192145;Hermann-Hollerith-Straße;m
;Q77486;Hermann-Löns-Straße;m
;Q1981113;Hermsheimer Straße;-
;;Herrenalb;
;Q374242;Herrenalber Straße;-
;;Herrensand;-
;Q30198;Herrlachstraße;-
;;Herrmannstraße;
;;Herrschaftsgraben;
;Q825227;Herschelplatz;m
;Q16145;Hersfelder Straße;-
;Q201065;Herxheimer Straße;-
;;Herzogenriedstraße;-
;Q1615899;Hessische Straße;-
;;Heumarkt;
;Q336989;Heustraße;-
;Q391626;Heydekruger Weg;-
;;Hiebweg;-
;Q19720976;Hildegard-Lagrenne-Straße;w
;;Hinter dem Wolfsberg;-
;;Hinter den Dorfgärten;-
;;Hintergasse;-
;;Hintergereute;-
;Q23390;Hirschgasse;-
;Q643634;Hirschhorner Straße;-
;;Hirschländerweg;-
;;Hirtenbrunnenstraße;-
;Q25158437;Hochdorfer Straße;-
;Q897231;Hochfirststraße;-
;Q1622382;Hochstättstraße;-
;Q634819;Höchster Straße;-
;;Hochuferstraße;-
;Q8336;Hockenheimer Straße;-
;Q106571553;Höferstraße;m
;;Hofgasse;-
;;Hofgewannstraße;-
;Q1623114;Hofheimer Straße;-
;Q15445002;Hofrat-Wild-Straße;m
;Q378821;Hohensalzaer Straße;-
;;Höhenstraße;-
;;Hoher Weg;-
;;Hohwiesenstraße;
;;Hohwörthstraße;-
;Q48319;Holbeinplatz;m
;Q48319;Holbeinstraße;m
;Q9041;Hölderlinstraße;m
;Q25662;Holderweg;-
;Q102911;Holländerstraße;-
;Q131448;Holunderstraße;-
;Q697238;Holzbauerstraße;m
;;Holzstraße;-
;;Holzweg;-
;;Hombuschstraße;-
;Q158790;Hopfenstraße;-
;Q881736;Hornbergstraße;-
;Q650402;Hornisgrindestraße;-
;Q1651849;Hörselbergstraße;-
;;Hubenstraße;-
;Q159834;Hubertusweg;m
;Q101935;Hugenottenstraße;+
;Q215747;Hugo-Wolf-Straße;m
;Q6694;Humboldtstraße;m
;Q83415;Hüninger Straße;-
;Q191713;Husarenweg;-
;;Huthorstweg;-
;Q2121848;I 1;
;Q2121848;I 2;
;Q2121848;I 3;
;Q2121848;I 4;
